gene	H2621_L	HP25311_L	HP25337_L	HU1327_L	UWHI366R_L	H2621_H	HP25311_H	HP25337_H	HU1327_H	UWHI366R_H
MIDN	44.39664759	53.49719881	19.4301402	36.53701973	46.51803955	57.12617294	73.7867879	31.35088845	52.18389468	57.6602681
ZNF467	10.00093645	13.34322705	36.30102429	17.11433872	7.930665824	7.747988643	10.33632142	28.88071059	12.72855118	5.440338197
KCNC1	1.638811684	2.88966839	2.756556769	3.467723869	1.469492935	1.162152465	2.090786906	2.083231522	2.965889569	0.931788906
CYP1B1	9.441777511	5.426580825	4.989845503	4.334567105	5.181790531	13.18314541	8.047347924	7.442853421	8.113806591	5.722581701
CHAC1	8.012215817	3.20784881	15.40730822	4.412400404	5.627979171	4.24087812	1.455494596	14.48929938	1.664321793	2.428543618
MAFB	30.4759746	64.40518289	35.64945464	94.03134696	43.59199035	22.97060453	52.61590188	30.85309902	56.30140697	29.9246866
MID1	2.765299849	2.843855658	1.08661571	1.104402883	2.176646178	3.703202703	3.528440485	1.928379072	1.649456972	2.711725378
SSTR2	8.034356954	10.88712561	35.79931704	17.50356952	7.982312092	6.432554218	8.703447057	32.9951987	10.70378811	5.26002682
JUN	225.8496707	187.5903801	226.4747372	242.2299567	245.7557619	179.6028061	145.0824434	193.6305692	195.8220494	198.441255
OPRD1	2.506953888	3.887344195	2.629988804	2.113694066	4.298901585	1.923518449	3.290377042	1.919137603	1.624604415	3.086836657
FGF18	0.83780032	2.050087086	2.375196036	3.858487235	1.191252736	0.492302124	1.382106651	0.993755061	2.201277707	0.780022405
NEUROD1	24.06721445	42.63031711	17.2036062	59.61739346	23.61163082	15.5327219	31.16406892	16.56247173	35.31680848	18.86836437
TNFAIP3	96.78515117	20.526262	36.43014131	21.95660401	77.55025061	74.43001295	14.78336575	38.68274371	16.8303654	53.97436624
NPIPA1	3.556447325	3.667309181	5.475268625	4.530222422	3.532433309	2.692315677	3.268854656	3.879265145	3.741981977	2.394821141
EGR1	260.2158399	155.1098816	139.8257201	170.0081343	185.2191749	126.6703465	96.4047388	159.3367883	84.70020057	116.9052698
GPR119	6.043199856	19.65839855	10.35788156	24.96688872	9.120521768	4.224182934	15.35390586	9.739811115	15.7720624	5.578053081
FXYD2	1.848713376	3.37706219	5.623946061	2.275918569	3.244259672	1.449272519	2.399047791	2.594955649	1.712354913	1.776406
TMCC3	9.004060905	7.124745487	4.096424274	7.482846787	8.308659501	11.0749635	8.475518934	5.764470415	13.07469025	9.707433085
CXCL2	181.9470877	17.87752022	25.93284106	21.07315066	96.57878203	138.0748382	13.1474347	23.37347726	9.717721356	64.91637463
PRDM10	5.007107048	3.98450082	8.867066108	4.49139238	4.069782356	3.928140769	3.156937409	8.598189872	3.153165768	2.991642349
NFAT5	15.78816907	10.41204621	17.69662918	12.6146642	14.76295265	12.91936402	9.095635098	15.13316427	9.804787579	11.87961598
SLC38A2	37.72078236	16.32272454	196.8319455	26.59168434	27.30122791	26.40366432	13.37593823	67.4907211	14.27995772	17.55331693
STX11	6.161577195	1.519384322	2.457610179	2.229830209	3.060836343	8.832774868	1.698096425	4.896722897	3.277525594	4.710255823
DNASE1	1.4729044	1.47394721	1.035390899	1.677814996	1.446118827	1.084899042	1.246336766	0.894784912	1.429209184	0.863118495
CHST3	2.42758064	1.140500953	1.470497722	1.6214848	2.734183179	2.868129812	1.829544702	2.608678353	2.347171202	3.078112343
WDR59	4.966891044	6.53493452	16.8358678	8.054145239	5.790593188	4.285712712	5.538784004	15.36399786	6.580424419	4.459653629
SOS1	8.784240562	7.905545911	9.891760069	9.672478188	8.624186853	7.04022235	6.710358437	7.242418998	6.861560509	7.215921041
SRSF4	18.03915628	13.53818124	12.36541815	14.53845373	14.7444871	15.46500524	12.09312438	10.91616447	12.69816884	10.67924927
GPX2	20.03566307	34.08138199	69.78397721	14.73694658	20.63438967	16.33629613	25.7166461	68.89730426	8.679138961	14.47032869
GPT2	5.093510019	2.871287386	5.322204026	2.035648779	3.423208855	3.989002234	2.249639907	4.61255306	1.749599912	2.667393564
FBXL19	4.261824803	3.37343604	6.213824619	5.321160615	3.945427416	3.227353194	2.935156441	3.69658165	3.680429652	2.948588371
KDM4A	9.615518099	10.18320193	8.766279445	9.51644047	9.998196299	8.7304824	8.223531416	7.115492785	7.619503516	7.613521311
ID2	46.22203602	47.81790764	50.613715	34.8461117	45.14873237	37.37831491	38.85216356	37.24735126	19.16078833	36.90314747
FOS	101.8862399	41.40395214	126.3298883	89.14186892	79.92814732	63.23947433	35.42105193	122.3328642	47.98708882	59.7780164
KMT2B	9.407161049	7.708728584	10.25208952	8.310174305	8.932398724	8.041540695	6.612220184	7.546254737	7.247101718	6.810307774
ZHX3	3.962859753	6.130755708	4.361346049	6.039836453	5.297167577	3.096322797	5.663296858	3.728325922	4.753321215	4.139581787
PCNT	19.20786924	22.32660995	22.13250403	27.16094543	20.30056207	17.00750239	17.99816997	21.65867114	23.84147688	14.36878461
GRASP	14.32539881	16.60105823	12.65335032	16.1577321	19.45891226	11.68797134	15.11302512	8.561097691	10.90402532	14.48596971
SERTAD2	7.84737703	4.276792244	5.961910663	5.443183207	8.011103245	9.092812897	5.631844436	9.283234766	6.708376622	8.797430525
B4GALNT3	10.18419283	10.20148548	12.17290069	12.65131127	7.82949097	9.184377314	8.727426956	9.01742519	10.83484817	5.455206717
SUFU	1.799601446	2.027522723	3.210703063	2.455634631	1.70986979	1.417458043	1.511254536	1.903687876	1.981293895	1.301468739
MB21D2	2.199260409	1.649524475	0.647294086	1.302396217	1.63587856	2.817217747	1.989106096	1.650132345	2.476735556	2.282934968
GLS	37.16821652	40.77944852	120.6135345	69.15475851	44.01184319	31.22447067	36.79029249	107.1722802	51.57651513	33.90727117
ARHGAP22	0.907613572	1.029853396	0.548363441	0.903066211	0.767036175	1.046244815	1.459476061	0.852472273	1.656231511	0.991118262
ELMO1-AS1	0.100358726	0.373703475	0.441497851	0.214108213	0	0.15809532	0.613546953	2.20968536	1.302926203	0.159096462
DLL4	3.937186639	3.643490723	9.776655352	12.12764613	5.893136227	3.394183891	3.365843053	5.824433185	8.822611396	3.750202748
HECTD4	9.802309212	12.44617729	14.52290698	12.71886956	11.53258088	8.90334262	10.19652524	11.87012565	11.62933238	8.618742726
EBF4	4.015705244	5.726753256	6.928533167	7.286189297	3.390124874	3.191015174	4.502108044	6.05220333	6.227965244	2.624285387
D2HGDH	1.760612549	2.864504187	1.729486313	2.774422926	2.752874825	1.327654004	2.127378246	1.621880145	2.443218546	1.562042107
STK32A	0.495522826	0.99335699	0.316533824	0.85441921	0.871001473	0.711092872	1.399095731	0.570653793	1.316386445	0.944263737
PRR14	12.48457601	9.985481071	13.0007417	12.05018927	10.64937492	10.83569767	8.812468402	11.11858631	10.09135545	7.97625422
SOCS3	36.98018854	17.35730902	16.22165237	21.21685433	26.69964156	43.48995675	24.01861149	22.68545108	23.9738183	36.84819932
ST3GAL6	2.952248745	3.26165224	7.574106242	11.23500695	6.185213156	2.5243577	2.89197106	6.719677078	9.779859616	4.00552046
CCDC73	0.529834288	0.259727721	3.207125587	0.259935983	0.265210069	0.314314064	0.272370799	1.713851153	0.198632601	0.103662807
CACNA1C	5.223185578	8.562705305	8.088486358	8.497156223	6.876463516	4.138017381	7.991493354	5.962073796	7.929765284	4.807822815
STC2	16.74803864	7.934941972	35.63119152	20.29210416	11.10234501	12.79165971	6.862565759	27.78677208	15.93956995	9.956360268
FAM153C	2.195347134	3.677053164	3.149107969	8.498547877	4.108632511	1.729167567	2.946875563	2.758524201	7.284797604	2.620332654
RTL9	0.233682859	0.245065322	5.56387996	0.478196973	0.06542755	0.199085911	0.154108689	1.342779144	0.328923119	0.056701875
ID3	11.77704616	7.556871697	10.07766834	11.16340412	11.95732781	9.426565665	6.604863725	8.543579254	6.70834052	8.543453392
NCKAP5L	3.384731266	2.906852413	16.38484923	4.027945545	3.157832178	2.275592223	2.449175544	7.140469605	2.770245238	2.551052391
LYPD1	2.44098038	3.258472173	1.945060462	0.687803919	2.202204947	3.337414325	4.374337703	2.996086813	1.205210297	2.66493527
CCDC88C	3.114696361	4.206991528	4.322962676	2.210458654	2.805283827	2.418127318	3.188181294	2.709398066	1.771712422	2.47388514
TUBGCP6	6.298272539	6.847737217	4.631494999	7.015346226	6.741008947	5.226068978	5.764756567	4.273328222	6.643970914	4.932337891
SNRNP70	27.86066048	30.31292581	34.6861138	30.03608799	24.81786294	24.58652039	27.49833937	29.39161378	26.7098739	18.27626137
CA5B	3.976711573	3.051552919	17.98483487	6.20003871	3.654158678	3.251794545	2.683276115	17.96553124	4.292315449	2.646386155
CDK10	3.775115821	4.844054087	2.781025978	4.210831724	3.89998682	3.13271267	4.254580495	2.350177189	3.61526689	2.807403344
SNED1	2.376026146	4.634295143	2.562299198	5.703236476	3.466525993	2.007670662	4.026401876	1.996212807	5.400784052	2.422305227
DEFB135	0.454209752	0.422832596	0.89917127	0.16150404	0	0.983836719	1.28924198	4.848839349	1.474216071	0
CDX2	1.292258731	0.538367136	0.180115685	0.204723431	0.485296232	1.82406603	0.737507872	0.307320804	0.415272133	0.760614762
EVA1A	14.25650235	18.05447223	15.13014589	17.41147105	12.77317696	11.1684105	16.4499279	11.48649768	14.9390465	10.15418759
BAALC	4.910615917	3.032004614	1.732873527	1.75312514	3.664247926	5.77835223	3.775022331	2.592900419	2.515154639	4.358588466
SAFB	29.35471289	23.77087976	27.54816368	27.61585612	26.53726432	24.81545179	21.45731407	26.12262108	22.62190652	21.30689389
TMEM164	9.855515476	16.41071651	27.3432455	18.53780376	10.15620419	8.719234722	13.59198321	27.04078125	14.89142144	8.167671789
C2CD4B	45.52178267	41.76438474	14.37457651	73.06086382	68.8088628	32.43422741	32.98738887	13.39734005	34.19910185	55.14969891
HOOK2	11.53256222	15.62824888	12.0557252	14.78651899	15.33947814	10.18649707	13.21720161	12.04634812	12.77341011	11.59841978
HS6ST1	8.66124983	13.78141407	22.93089629	12.90748022	9.148480472	7.39424284	11.06135445	16.79550675	10.99879269	7.91868799
HIST2H3D	15.93500749	9.379045757	2.035197411	14.71341197	10.370783	7.793906496	6.172880925	2.400766799	10.1145605	7.588610196
HIST1H1T	2.755665858	1.149255457	3.814615323	2.534509707	1.808739768	2.286263394	0.481339136	2.402440974	0.954025463	0.698959351
PRICKLE2	4.225948769	4.239058096	3.353787892	5.634313523	3.547010083	5.245240825	5.050410156	4.755785031	7.471222168	3.572482296
DNMT1	10.1766466	8.82864398	12.25621855	10.37131268	9.449177923	9.143711806	7.757444994	11.60023514	8.474587562	7.361719997
TENM4	3.893958457	4.216650023	3.801944269	5.827727479	3.744809238	3.334419401	3.843271325	3.623342678	4.960041123	2.818809739
ADCY1	2.609453182	6.107470644	8.346231213	11.80959436	4.809807618	2.176692723	4.254812762	9.277784573	9.574000948	3.586383817
RAB15	16.13806209	19.61494288	63.49461456	22.58425192	18.94435913	12.21259217	17.03224592	62.63380045	11.98922244	13.83333723
PKDCC	1.821242061	3.993955892	1.892133647	2.987000743	1.713824802	1.418623187	3.157732084	1.605250323	2.442986632	1.246492368
KCNJ2	4.10711875	2.91440439	6.736525337	4.52732854	2.75382058	2.765923578	2.356938307	7.240202709	3.861816641	1.734498226
SPDYA	1.807411765	1.119817707	1.336329615	1.198919585	1.875350871	1.495388498	0.722938359	1.246455027	0.807227854	0.908934275
USF3	8.311333873	9.060288484	11.69482182	9.501626956	9.183139144	6.901558468	8.017866966	10.17166855	8.820710052	7.576373727
SBK1	2.228796689	1.935196625	2.592959011	1.27700869	1.572770408	1.980153396	1.139330122	1.423641785	0.917099532	1.230780818
JAKMIP1	2.808407898	4.381977925	12.55800649	5.051991548	6.193338384	2.109688684	3.909281076	8.747577263	3.59100289	5.23036703
NCOA6	13.10741673	10.98617453	12.06886859	12.78996788	13.32777055	11.52778378	9.723253103	9.523759803	10.08089952	11.2137422
KRCC1	11.52274825	13.01231655	12.82842812	16.6778546	15.38896118	9.372503449	11.90523139	11.51703308	10.97528157	11.3421041
CHST12	0.837333145	1.019870126	0.926283828	1.269858037	0.70603571	0.689095774	0.832507947	0.749256836	1.104565982	0.534326058
IL1A	19.06436547	1.11210765	1.401448067	0.743361062	6.075750406	10.60534326	1.162898983	1.129181766	0.636134332	3.876426249
